frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-1.022036e+01
1;0.010000;-1.084785e+01
2;0.020000;-1.306020e+01
3;0.030000;-1.363253e+01
4;0.040000;-1.227593e+01
5;0.050000;-1.087239e+01
6;0.060000;-1.017169e+01
7;0.070000;-9.875949e+00
8;0.080000;-9.995305e+00
9;0.090000;-9.518975e+00
10;0.100000;-9.388050e+00
11;0.110000;-9.074023e+00
12;0.120000;-9.041911e+00
13;0.130000;-8.758282e+00
14;0.140000;-8.803694e+00
15;0.150000;-8.866690e+00
16;0.160000;-9.169249e+00
17;0.170000;-9.625152e+00
18;0.180000;-1.002802e+01
19;0.190000;-9.126255e+00
20;0.200000;-8.622284e+00
21;0.210000;-8.273786e+00
22;0.220000;-8.410599e+00
23;0.230000;-8.696704e+00
24;0.240000;-9.502129e+00
25;0.250000;-1.011546e+01
26;0.260000;-1.032853e+01
27;0.270000;-9.297318e+00
28;0.280000;-8.634513e+00
29;0.290000;-8.552624e+00
30;0.300000;-8.724528e+00
31;0.310000;-8.997284e+00
32;0.320000;-1.027791e+01
33;0.330000;-1.094695e+01
34;0.340000;-9.827305e+00
35;0.350000;-9.310303e+00
36;0.360000;-8.520818e+00
37;0.370000;-8.585235e+00
38;0.380000;-8.919571e+00
39;0.390000;-9.790525e+00
40;0.400000;-1.018551e+01
41;0.410000;-1.024902e+01
42;0.420000;-9.343450e+00
43;0.430000;-8.864291e+00
44;0.440000;-8.597522e+00
45;0.450000;-8.723025e+00
46;0.460000;-9.044218e+00
47;0.470000;-1.007292e+01
48;0.480000;-1.041151e+01
49;0.490000;-1.002511e+01
50;0.500000;-9.406488e+00
51;0.510000;-9.061294e+00
52;0.520000;-8.712037e+00
53;0.530000;-8.923656e+00
54;0.540000;-9.418603e+00
55;0.550000;-1.004870e+01
56;0.560000;-1.057551e+01
57;0.570000;-1.037344e+01
58;0.580000;-9.448322e+00
59;0.590000;-8.995786e+00
60;0.600000;-8.740985e+00
61;0.610000;-8.904566e+00
62;0.620000;-9.134387e+00
63;0.630000;-1.005163e+01
64;0.640000;-1.075449e+01
65;0.650000;-1.064999e+01
66;0.660000;-9.692652e+00
67;0.670000;-9.220988e+00
68;0.680000;-9.078561e+00
69;0.690000;-9.238422e+00
70;0.700000;-9.701460e+00
71;0.710000;-1.085492e+01
72;0.720000;-1.080607e+01
73;0.730000;-1.013342e+01
74;0.740000;-9.669015e+00
75;0.750000;-9.269311e+00
76;0.760000;-9.372128e+00
77;0.770000;-9.797575e+00
78;0.780000;-1.045611e+01
79;0.790000;-1.038777e+01
80;0.800000;-1.001045e+01
81;0.810000;-9.328996e+00
82;0.820000;-9.130032e+00
83;0.830000;-9.383746e+00
84;0.840000;-1.014523e+01
85;0.850000;-1.059575e+01
86;0.860000;-1.095530e+01
87;0.870000;-1.039951e+01
88;0.880000;-9.636658e+00
89;0.890000;-9.204723e+00
90;0.900000;-9.306600e+00
91;0.910000;-9.910694e+00
92;0.920000;-1.024278e+01
93;0.930000;-1.057156e+01
94;0.940000;-9.640405e+00
95;0.950000;-9.257347e+00
96;0.960000;-9.609612e+00
97;0.970000;-9.481006e+00
98;0.980000;-9.850834e+00
99;0.990000;-1.050794e+01
100;1.000000;-1.013928e+01
101;1.010000;-9.479450e+00
102;1.020000;-9.278477e+00
103;1.030000;-9.506926e+00
104;1.040000;-9.901696e+00
105;1.050000;-1.075154e+01
106;1.060000;-1.137638e+01
107;1.070000;-1.088888e+01
108;1.080000;-1.040455e+01
109;1.090000;-9.676227e+00
110;1.100000;-9.497000e+00
111;1.110000;-9.734588e+00
112;1.120000;-1.065213e+01
113;1.130000;-1.047964e+01
114;1.140000;-1.008222e+01
115;1.150000;-9.839603e+00
116;1.160000;-9.472738e+00
117;1.170000;-9.793508e+00
118;1.180000;-1.073746e+01
119;1.190000;-1.110029e+01
120;1.200000;-1.069894e+01
121;1.210000;-1.069248e+01
122;1.220000;-1.060814e+01
123;1.230000;-1.025054e+01
124;1.240000;-1.038593e+01
125;1.250000;-1.058665e+01
126;1.260000;-1.004742e+01
127;1.270000;-9.681123e+00
128;1.280000;-9.756296e+00
129;1.290000;-1.002706e+01
130;1.300000;-1.095253e+01
131;1.310000;-1.119504e+01
132;1.320000;-1.095981e+01
133;1.330000;-1.025569e+01
134;1.340000;-9.601183e+00
135;1.350000;-9.696342e+00
136;1.360000;-1.009658e+01
137;1.370000;-1.080290e+01
138;1.380000;-9.852973e+00
139;1.390000;-9.553565e+00
140;1.400000;-9.140425e+00
141;1.410000;-9.323766e+00
142;1.420000;-9.307089e+00
143;1.430000;-9.768782e+00
144;1.440000;-9.859468e+00
145;1.450000;-1.014965e+01
146;1.460000;-9.493878e+00
147;1.470000;-9.042163e+00
148;1.480000;-9.071671e+00
149;1.490000;-9.769196e+00
150;1.500000;-1.012074e+01
151;1.510000;-1.013934e+01
152;1.520000;-9.878043e+00
153;1.530000;-9.259933e+00
154;1.540000;-9.249545e+00
155;1.550000;-9.315883e+00
156;1.560000;-9.629337e+00
157;1.570000;-1.012460e+01
158;1.580000;-1.101158e+01
159;1.590000;-9.988510e+00
160;1.600000;-9.168271e+00
161;1.610000;-8.972279e+00
162;1.620000;-9.181388e+00
163;1.630000;-9.628007e+00
164;1.640000;-1.082635e+01
165;1.650000;-1.005263e+01
166;1.660000;-9.782384e+00
167;1.670000;-9.481757e+00
168;1.680000;-9.441572e+00
169;1.690000;-9.340611e+00
170;1.700000;-9.687286e+00
171;1.710000;-1.033331e+01
172;1.720000;-9.691071e+00
173;1.730000;-9.523271e+00
174;1.740000;-9.538974e+00
175;1.750000;-9.319468e+00
176;1.760000;-9.449401e+00
177;1.770000;-9.703371e+00
178;1.780000;-9.045064e+00
179;1.790000;-9.018064e+00
180;1.800000;-9.331844e+00
181;1.810000;-9.782446e+00
182;1.820000;-9.327758e+00
183;1.830000;-9.497827e+00
184;1.840000;-9.234223e+00
185;1.850000;-9.017574e+00
186;1.860000;-9.111967e+00
187;1.870000;-9.275095e+00
188;1.880000;-9.233180e+00
189;1.890000;-9.863718e+00
190;1.900000;-1.044291e+01
191;1.910000;-9.723821e+00
192;1.920000;-9.215438e+00
193;1.930000;-9.247578e+00
194;1.940000;-9.205894e+00
195;1.950000;-9.385862e+00
196;1.960000;-9.930048e+00
197;1.970000;-9.827116e+00
198;1.980000;-9.346430e+00
199;1.990000;-9.314892e+00
200;2.000000;-9.328630e+00
201;2.010000;-9.334414e+00
202;2.020000;-9.445169e+00
203;2.030000;-1.018613e+01
204;2.040000;-9.994864e+00
205;2.050000;-9.231833e+00
206;2.060000;-8.966414e+00
207;2.070000;-8.950006e+00
208;2.080000;-8.918045e+00
209;2.090000;-9.216794e+00
210;2.100000;-9.733824e+00
211;2.110000;-9.478599e+00
212;2.120000;-9.398325e+00
213;2.130000;-9.329575e+00
214;2.140000;-8.969066e+00
215;2.150000;-9.057144e+00
216;2.160000;-9.466479e+00
217;2.170000;-9.241952e+00
218;2.180000;-9.078864e+00
219;2.190000;-9.148966e+00
220;2.200000;-9.133946e+00
221;2.210000;-9.097038e+00
222;2.220000;-9.233852e+00
223;2.230000;-9.478116e+00
224;2.240000;-9.419360e+00
225;2.250000;-9.402011e+00
226;2.260000;-9.157241e+00
227;2.270000;-9.057886e+00
228;2.280000;-9.493104e+00
229;2.290000;-9.629677e+00
230;2.300000;-9.412613e+00
231;2.310000;-9.143573e+00
232;2.320000;-9.167001e+00
233;2.330000;-9.338676e+00
234;2.340000;-9.422894e+00
235;2.350000;-1.012990e+01
236;2.360000;-1.010031e+01
237;2.370000;-9.743674e+00
238;2.380000;-9.664545e+00
239;2.390000;-9.410778e+00
240;2.400000;-9.468767e+00
241;2.410000;-9.603831e+00
242;2.420000;-9.840536e+00
243;2.430000;-9.657726e+00
244;2.440000;-9.389465e+00
245;2.450000;-9.314399e+00
246;2.460000;-9.169740e+00
247;2.470000;-9.193511e+00
248;2.480000;-9.561869e+00
249;2.490000;-9.980876e+00
250;2.500000;-1.030797e+01
251;2.510000;-1.002141e+01
252;2.520000;-9.877929e+00
253;2.530000;-9.800703e+00
254;2.540000;-9.690749e+00
255;2.550000;-9.764814e+00
256;2.560000;-9.779480e+00
257;2.570000;-1.006689e+01
258;2.580000;-1.005001e+01
259;2.590000;-9.512011e+00
260;2.600000;-9.352833e+00
261;2.610000;-9.615816e+00
262;2.620000;-9.513445e+00
263;2.630000;-9.253908e+00
264;2.640000;-9.473702e+00
265;2.650000;-1.015162e+01
266;2.660000;-9.555312e+00
267;2.670000;-9.234238e+00
268;2.680000;-9.251034e+00
269;2.690000;-9.416970e+00
270;2.700000;-9.276394e+00
271;2.710000;-9.474982e+00
272;2.720000;-1.070056e+01
273;2.730000;-1.104803e+01
274;2.740000;-1.028182e+01
275;2.750000;-1.000732e+01
276;2.760000;-1.001738e+01
277;2.770000;-1.022638e+01
278;2.780000;-1.087047e+01
279;2.790000;-1.215905e+01
280;2.800000;-1.055341e+01
281;2.810000;-1.001505e+01
282;2.820000;-9.915422e+00
283;2.830000;-9.766689e+00
284;2.840000;-1.011911e+01
285;2.850000;-1.071868e+01
286;2.860000;-1.077088e+01
287;2.870000;-9.837101e+00
288;2.880000;-9.339467e+00
289;2.890000;-9.319509e+00
290;2.900000;-9.394668e+00
291;2.910000;-9.671493e+00
